,scoredFor,xGF_before,xGF_after,xGA_before,xGA_after,time_before,time_after,anyone_switch,forw_switch,def_switch,us,them,score_dif
4901,1,0.113096,0.0,0.0,0.037075699999999996,34.0,44.0,0,0,0,"(8476822.0, 8471794.0, 8476960.0, 8474722.0, 8468509.0)","(8476873.0, 8477935.0, 8471707.0, 8474612.0, 8478396.0)",
4902,0,0.0,0.0225464,0.5553665000000001,0.0,56.0,46.0,0,0,0,"(8476873.0, 8477935.0, 8471707.0, 8470966.0, 8474673.0)","(8479992.0, 8478036.0, 8477455.0, 8475324.0, 8468509.0)",-1.0
4903,1,0.5553665000000001,0.0,0.0,0.0225464,7.0,46.0,0,0,1,"(8479992.0, 8478036.0, 8477455.0, 8475324.0, 8468509.0)","(8476873.0, 8477935.0, 8471707.0, 8470966.0, 8474673.0)",1.0
4904,1,0.0,0.0,0.0,0.0,19.0,29.0,0,0,0,"(8477497.0, 8477496.0, 8476346.0, 8470966.0, 8474673.0)","(8474679.0, 8477946.0, 8471716.0, 8479425.0, 8470318.0)",
4905,0,0.0,0.0,0.0,0.0,19.0,29.0,0,0,0,"(8474679.0, 8477946.0, 8471716.0, 8479425.0, 8470318.0)","(8477497.0, 8477496.0, 8476346.0, 8470966.0, 8474673.0)",
4906,1,0.0,0.0,0.0,0.0,36.0,24.0,0,0,0,"(8477497.0, 8477496.0, 8476346.0, 8470966.0, 8474673.0)","(8474679.0, 8477946.0, 8477479.0, 8479425.0, 8468509.0)",
4907,0,0.0,0.0,0.0,0.0,36.0,24.0,0,0,0,"(8474679.0, 8477946.0, 8477479.0, 8479425.0, 8468509.0)","(8477497.0, 8477496.0, 8476346.0, 8470966.0, 8474673.0)",
4908,1,0.0,0.0,0.0,0.0,34.0,17.0,0,0,0,"(8464989.0, 8475772.0, 8479944.0, 8475208.0, 8471724.0)","(8476458.0, 8480078.0, 8471657.0, 8474031.0, 8476368.0)",
4909,0,0.0,0.0,0.0,0.0,34.0,17.0,0,0,0,"(8476458.0, 8480078.0, 8471657.0, 8474031.0, 8476368.0)","(8464989.0, 8475772.0, 8479944.0, 8475208.0, 8471724.0)",
4910,1,0.0,0.0,0.0,0.0,0.0,39.0,0,0,0,"(8477404.0, 8471675.0, 8475810.0, 8476874.0, 8477969.0)","(8475692.0, 8476480.0, 8476459.0, 8471686.0, 8480145.0)",
4911,0,0.0,0.0,0.0,0.0,0.0,39.0,0,0,0,"(8475692.0, 8476480.0, 8476459.0, 8471686.0, 8480145.0)","(8477404.0, 8471675.0, 8475810.0, 8476874.0, 8477969.0)",
4912,1,0.0,0.0,0.0,0.0,30.0,26.0,0,0,0,"(8464989.0, 8475772.0, 8479944.0, 8475208.0, 8471724.0)","(8479353.0, 8480078.0, 8477402.0, 8474031.0, 8476368.0)",
4913,0,0.0,0.0,0.0,0.0,30.0,26.0,0,0,0,"(8479353.0, 8480078.0, 8477402.0, 8474031.0, 8476368.0)","(8464989.0, 8475772.0, 8479944.0, 8475208.0, 8471724.0)",
4914,0,0.0,0.0,0.0,0.0,26.0,38.0,0,0,0,"(8478866.0, 8471215.0, 8471887.0, 8476874.0, 8480945.0)","(8476458.0, 8475692.0, 8476480.0, 8471717.0, 8476869.0)",
4915,1,0.0,0.0,0.0,0.0,26.0,38.0,0,0,0,"(8476458.0, 8475692.0, 8476480.0, 8471717.0, 8476869.0)","(8478866.0, 8471215.0, 8471887.0, 8476874.0, 8480945.0)",
4916,1,0.0,0.0,0.0,0.0,12.0,71.0,0,0,0,"(8478866.0, 8471215.0, 8471887.0, 8477969.0, 8471677.0)","(8475692.0, 8476480.0, 8475763.0, 8471686.0, 8480145.0)",
